,id,state,units_n,con_type,status,loi_date,closedate,concomdate,stabdate,totalcost,hardcost,sources_n,df,yr_pis
82,83.0,TX,92.0,New Construction,Stabilized,1/4/11,5/20/11,3/14/12,7/1/13,"$10,083,283 ","$6,906,057 ",2.0,g,2012
83,84.0,NY,104.0,New Construction,Operational,2/8/17,11/21/17,6/14/19,,,"$16,387,528 ",3.0,g,2019
84,85.0,TX,200.0,New Construction,Lease-Up,3/3/17,5/19/17,,,,"$31,354,179 ",4.0,g,
85,86.0,CA,18.0,Rehab - TIP,Stabilized,8/19/16,4/12/17,1/26/18,1/1/19,"$7,284,694 ","$1,755,713 ",2.0,g,2018
86,87.0,NY,124.0,New Construction,Stabilized,2/9/10,12/30/10,2/13/13,3/1/15,"$36,667,358 ","$27,607,570 ",6.0,g,2013
87,88.0,TX,252.0,New Construction,Stabilized,4/27/15,6/8/16,11/22/17,7/1/19,"$32,262,481 ","$21,600,000 ",2.0,g,2017
88,89.0,TX,90.0,New Construction,Lease-Up,6/2/17,12/15/17,,,,"$9,474,758 ",2.0,g,
89,90.0,CA,51.0,New Construction,Stabilized,8/28/06,11/20/06,11/20/08,10/1/10,"$27,571,145 ","$3,144,996 ",7.0,g,2008
90,92.0,CA,35.0,New Construction,Stabilized,7/29/05,6/1/07,6/1/07,5/1/08,"$16,284,272 ","$9,945,238 ",3.0,g,2007
91,93.0,TX,130.0,New Construction,Stabilized,12/21/10,7/18/11,11/22/12,12/1/14,"$16,937,023 ","$10,369,234 ",4.0,g,2012
92,94.0,TX,177.0,New Construction,Construction,3/20/19,10/24/19,,,,"$20,614,388 ",3.0,g,
93,95.0,NY,101.0,Rehab,Stabilized,5/23/11,10/20/11,11/15/12,1/1/13,"$7,687,981 ","$2,073,415 ",3.0,g,2012
94,96.0,TX,357.0,Rehab - TIP,Pre-stabilized,5/6/16,11/1/16,3/27/18,,"$61,964,741 ","$17,053,337 ",4.0,g,2018
95,98.0,CA,136.0,Rehab - TIP,Stabilized,8/14/17,11/15/17,6/28/18,8/1/18,"$27,718,065 ","$2,837,130 ",5.0,g,2018
96,99.0,VA,116.0,Rehab,Stabilized,7/20/04,4/30/06,12/31/05,8/6/07,"$14,586,252 ","$2,726,011 ",3.0,g,2005
97,100.0,CA,118.0,Rehab - TIP,Stabilized,10/12/15,2/26/16,12/31/16,3/1/18,"$44,082,491 ","$15,390,026 ",16.0,g,2016
98,101.0,NY,71.0,New Construction,Construction,6/19/17,1/22/18,,,,"$20,451,573 ",6.0,g,
99,102.0,NY,83.0,New Construction,Pre-stabilized,9/12/14,5/23/17,8/30/18,,"$16,540,062 ","$10,729,821 ",6.0,g,2018
100,103.0,CA,89.0,New Construction,Stabilized,5/3/13,7/31/13,11/14/14,11/1/15,"$23,085,626 ","$13,539,817 ",4.0,g,2014
101,104.0,NY,85.0,New Construction,Construction,3/8/19,10/24/19,,,,"$27,370,287 ",4.0,g,
102,105.0,NY,69.0,New Construction,Stabilized,5/31/05,12/1/05,1/25/07,1/22/08,"$7,898,335 ","$5,367,616 ",5.0,g,2007
103,106.0,VA,50.0,Rehab,Stabilized,5/30/06,12/18/06,7/30/07,3/31/09,"$11,883,871 ","$1,411,422 ",4.0,g,2007
104,107.0,CA,122.0,Rehab,Stabilized,4/21/11,10/25/11,7/20/12,1/31/13,"$20,397,366 ","$5,461,679 ",4.0,g,2012
105,108.0,CA,290.0,New Construction,Construction,8/2/16,10/19/16,,,,"$57,671,538 ",5.0,g,
106,109.0,TX,252.0,New Construction,Stabilized,3/13/08,8/1/08,2/28/10,3/1/11,"$30,856,886 ","$21,479,518 ",6.0,g,2010
107,110.0,NY,41.0,New Construction & Rehab,Construction,8/27/18,5/10/19,,,,"$10,310,660 ",7.0,g,
108,111.0,NY,96.0,Rehab,Stabilized,5/23/11,10/20/11,9/21/12,1/1/13,"$7,235,224 ","$1,023,367 ",3.0,g,2012
109,112.0,CA,153.0,New Construction,Stabilized,12/9/10,3/17/11,7/20/12,4/1/14,"$24,384,213 ","$17,197,417 ",3.0,g,2012
110,113.0,TX,22.0,New Construction,Stabilized,11/6/06,8/28/07,9/11/08,8/1/09,"$6,065,958 ","$4,044,786 ",8.0,g,2008
111,114.0,NY,47.0,New Construction,Stabilized,11/21/13,8/29/14,3/15/16,9/1/16,"$12,519,148 ","$8,965,431 ",5.0,g,2016
112,116.0,CA,81.0,Rehab - TIP,Stabilized,2/22/18,5/16/18,5/1/18,12/1/18,"$7,379,195 ","$1,454,860 ",5.0,g,2018
113,117.0,NY,51.0,Rehab,Stabilized,5/23/11,10/20/11,8/23/12,1/1/13,"$3,750,681 ","$993,805 ",2.0,g,2012
114,118.0,TX,144.0,New Construction,Stabilized,1/26/11,6/3/11,11/30/12,9/1/13,"$19,523,670 ","$13,584,431 ",2.0,g,2012
115,119.0,TX,80.0,New Construction,Stabilized,8/26/10,4/12/11,12/14/11,8/1/13,"$9,173,615 ","$6,008,523 ",2.0,g,2011
116,120.0,CA,56.0,New Construction,Stabilized,6/21/11,11/23/11,2/1/13,11/1/14,"$16,585,218 ","$12,223,834 ",6.0,g,2013
117,121.0,CA,35.0,New Construction,Stabilized,7/9/14,1/21/15,3/24/16,5/1/17,"$8,788,314 ","$5,705,528 ",6.0,g,2016
118,122.0,TX,101.0,New Construction,Lease-Up,9/14/17,1/18/18,6/4/19,,,"$9,947,741 ",1.0,g,2019
