,id,state,units_n,con_type,status,loi_date,closedate,concomdate,stabdate,totalcost,hardcost,sources_n,df,yr_pis
162,166.0,TX,180.0,New Construction,Stabilized,8/21/06,12/14/07,3/26/09,6/30/10,"$23,618,577 ","$13,831,770 ",3.0,g,2009
163,167.0,TX,120.0,New Construction,Stabilized,9/11/06,9/13/07,10/30/08,1/1/10,"$11,323,955 ","$7,867,602 ",3.0,g,2008
164,168.0,TX,96.0,New Construction,Stabilized,8/28/15,3/29/16,12/28/17,11/1/18,"$16,598,224 ","$10,891,525 ",2.0,g,2017
165,169.0,TX,98.0,New Construction,Construction,8/16/18,10/31/18,,,,"$9,850,000 ",2.0,g,
166,170.0,CA,57.0,New Construction,Construction,2/21/18,10/31/18,,,,"$20,528,618 ",3.0,g,
167,171.0,VA,120.0,New Construction,Construction,7/18/18,4/11/19,,,,"$16,435,685 ",3.0,g,
168,172.0,NY,50.0,New Construction,Construction,9/24/15,9/28/17,,,,"$10,347,573 ",7.0,g,
169,173.0,CA,144.0,Rehab - TIP,Stabilized,9/22/15,12/22/15,11/10/16,12/1/17,"$33,942,172 ","$5,070,989 ",3.0,g,2016
170,174.0,CA,98.0,Rehab - TIP,Stabilized,5/7/14,11/20/14,8/25/15,8/1/16,"$24,906,564 ","$3,907,962 ",7.0,g,2015
171,175.0,CA,92.0,Rehab - TIP,Operational,7/15/16,10/17/16,12/1/17,,,"$4,141,049 ",3.0,g,2017
172,176.0,CA,85.0,Rehab - TIP,Stabilized,7/14/17,10/17/17,1/15/18,2/1/18,"$17,482,616 ","$2,057,925 ",5.0,g,2018
173,97.0,CA,133.0,Rehab - TIP,Construction,11/9/18,2/28/19,,,,"$7,963,292 ",4.0,g,
174,177.0,VA,94.0,New Construction,Stabilized,4/3/06,4/10/07,1/1/09,6/30/09,"$30,838,890 ","$18,943,225 ",6.0,g,2009
175,178.0,TX,194.0,Rehab - TIP,Construction,4/20/18,11/5/18,,,,"$24,662,320 ",5.0,g,
176,179.0,NY,72.0,Rehab,Pre-stabilized,8/4/15,11/9/16,12/19/17,,,"$18,484,759 ",4.0,g,2017
177,180.0,TX,60.0,New Construction,Lease-Up,4/7/17,7/14/17,9/3/18,,"$8,462,786 ","$6,229,612 ",2.0,g,2018
178,181.0,NY,38.0,New Construction,Stabilized,5/29/09,9/30/09,10/27/11,3/1/15,"$9,616,832 ","$6,934,872 ",4.0,g,2011
179,182.0,NY,105.0,New Construction,Stabilized,11/5/08,5/7/09,12/28/10,6/1/12,"$25,378,313 ","$19,510,700 ",6.0,g,2010
180,183.0,TX,107.0,New Construction,Lease-Up,6/28/17,12/20/17,12/6/18,,,"$11,763,345 ",2.0,g,2018
181,184.0,VA,64.0,New Construction,Stabilized,5/2/08,10/1/08,9/28/09,1/1/13,"$25,866,986 ","$28,718,171 ",3.0,g,2009
182,185.0,TX,152.0,New Construction,Stabilized,2/1/13,5/31/13,12/23/14,8/1/17,"$19,228,459 ","$13,128,067 ",7.0,g,2014
183,186.0,TX,152.0,New Construction,Stabilized,12/20/11,4/19/12,9/9/13,8/1/15,"$19,135,334 ","$13,065,027 ",2.0,g,2013
184,187.0,TX,80.0,New Construction,Stabilized,10/9/13,9/24/14,12/17/15,12/1/17,"$9,436,531 ","$6,773,172 ",4.0,g,2015
185,188.0,TX,330.0,Rehab,Construction,9/1/17,3/21/18,,,,"$33,911,077 ",4.0,g,
186,189.0,CA,42.0,Rehab,Stabilized,12/16/13,3/20/14,3/31/15,9/1/16,"$9,948,649 ","$4,348,595 ",4.0,g,2015
187,190.0,VA,90.0,Rehab,Stabilized,11/20/06,12/18/06,7/31/08,12/19/08,"$26,501,549 ","$3,697,512 ",6.0,g,2008
188,191.0,CA,100.0,New Construction,Stabilized,1/22/07,8/14/07,2/12/09,10/1/09,"$35,312,139 ","$27,622,091 ",7.0,g,2009
189,192.0,TX,278.0,New Construction,Construction,5/1/18,4/11/19,,,,"$36,659,430 ",4.0,g,
190,193.0,CA,24.0,New Construction,Stabilized,10/17/06,2/14/07,3/31/08,3/1/08,"$10,045,167 ","$5,951,685 ",4.0,g,2008
191,194.0,TX,140.0,New Construction,Stabilized,10/26/10,11/17/11,11/22/12,9/1/14,"$16,270,579 ","$11,126,084 ",4.0,g,2012
192,195.0,TX,92.0,New Construction,Stabilized,10/14/11,5/22/12,5/16/13,5/1/15,"$12,130,425 ","$7,955,756 ",3.0,g,2013
193,196.0,CA,56.0,Rehab,Stabilized,7/19/12,12/21/12,8/19/13,7/1/15,"$7,011,107 ","$1,739,430 ",3.0,g,2013
194,197.0,TX,54.0,New Construction,Stabilized,10/28/10,12/12/11,6/29/12,11/1/14,"$11,196,170 ","$6,785,017 ",3.0,g,2012
195,198.0,CA,180.0,New Construction,Stabilized,4/27/12,12/7/12,10/16/14,11/1/16,"$38,247,879 ","$26,539,991 ",8.0,g,2014
196,199.0,TX,61.0,New Construction,Stabilized,8/26/13,10/31/14,2/2/16,6/1/17,"$10,080,737 ","$7,010,841 ",4.0,g,2016
197,200.0,CA,164.0,Acq/Rehab,Stabilized,8/9/13,10/11/13,10/1/13,12/1/14,"$16,919,232 ","$3,729,473 ",2.0,g,2013
198,201.0,CA,12.0,New Construction,Stabilized,10/21/14,3/20/15,11/30/15,6/1/16,"$4,712,756 ","$3,288,643 ",1.0,g,2015
